number_of_clusters,silhouette_score,inertia
3,0.06642834407775547,159.91566085358005
4,0.08773591527947412,154.64889336586984
5,0.09810238133793764,149.5553634558606
6,0.1014110829831086,145.32516545151543
7,0.11516426510441156,142.4537016156331
8,0.10394501327068283,138.8791643961727
9,0.12930831339068163,134.80056608490463
10,0.1154199645794939,132.9704246680177
11,0.1395303939626627,128.6903243656251
12,0.1417967295436304,126.34766046829469
13,0.15011030450219753,123.48270039427493
14,0.14970330109055896,121.15995414287636
15,0.1565650806721277,118.57241602572708
16,0.1578025040076063,116.24590668429995
17,0.15907221438736985,114.62879339504994
18,0.17037113360563705,111.25241734070926
19,0.18148186495576007,108.15625211402958
20,0.1771926727628068,106.83552220790327
