cluster_id,game_count,developer_count,average_rating,median_rating_count,average_chart_position,free_game_share,keywords,representative_games
0,12,10,4.691,14814.0,56.5,0.917,casino | cash | slots | smooth | real | card | rewards | win | enjoy | spin | exciting | win real,Triumph Arcade | Solitaire Cash: Win Real Money | Cider Casino - Real Money | Bingo Cash - Win Real Money | Mahjong Rumble: Win Real Cash
1,19,18,4.569,15967.0,43.21,0.632,casual | crops | merge | simulation | farm | life | casual simulation | puzzle | world | valley | dishes | story,Township | Whiteout Survival | Stardew Valley | Tasty Travels: Merge Game | Gossip Harbor®: Merge & Story
2,12,11,4.734,4136.0,52.67,0.167,roleplaying | enemies | discover | dungeon | roguelike | bosses | fight | combos | boss | relics | powerful | card,Balatro | CloverPit | How Many Dudes? | Slay the Spire | The Binding of Isaac: Rebirth
3,6,6,4.725,19180.0,44.83,1.0,smash | shot | satisfying | aim | destruction | cannon | puzzle | jars | cube | festival | crumble | shoot,Smash Fest! | Jelly Busters: Puzzle Game | Hole.io | Royal Smash! - Physics Puzzle | Cube Land Puzzle Game
4,7,1,4.588,11241.0,34.71,0.0,freddy | english | fazbear | freddy fazbear | note | pizza | chinese simplified | subtitles | run properly | interface audio | english subtitles | simplified korean,Five Nights at Freddy's | Five Nights at Freddy's 2 | Five Nights at Freddy's 4 | Five Nights at Freddy's: SL | Five Nights at Freddy's 3
5,12,11,4.655,6963.0,47.5,0.083,city | car | racing | simulation | music | vehicle | world | drive | mode | zombies | flight | vehicles,Plague Inc. | Incredibox | Earn to Die 2 | RFS - Real Flight Simulator | Lowriders Comeback: Boulevard
6,15,10,4.687,35584.0,51.53,0.333,board | family | friends | cards | word | entertainment | friends family | multiplayer | card | board entertainment | dice | guess,Heads Up! | MONOPOLY GO! | MONOPOLY: The Board Game | Imposter Game - Party Edition | The Game of Life 2
7,8,1,4.553,607.0,59.25,0.0,customers | holiday | stickers | papa | serve | recipes | special recipes | workers | orders | ingredients | holidays | flavors,Papa's Scooperia To Go! | Papa's Sushiria To Go! | Papa's Pancakeria To Go! | Papa's Wingeria To Go! | Papa's Paleteria To Go!
8,16,16,4.475,56184.0,45.0,0.625,survivors | resources | friends | multiplayer | simulation | create | survival | worlds | world | strategy | cross-platform | experience,Roblox | Minecraft: Play with Friends! | Call of Duty®: Mobile | Kingshot | Magic Tiles 3™: Piano Game
9,13,12,4.816,352722.0,44.0,1.0,puzzle | brain | word | puzzles | mind | logic | words | relaxing | enjoy | hidden | thinking | offline,Vita Mahjong | Meowdoku! | Arrows – Puzzle Escape | Solitaire Associations Journey | Mahjong Blast
10,6,6,4.727,28502.0,43.0,1.0,pixel | sort | tap | puzzle | pixel art | color | board | sorting | art | clear | flow | cubes,Pixel Flow! | Jewel Coloring | Amaze GO! | Food Hunt: Pixel Puzzle | Colony Flow!
11,5,1,4.001,419.0,46.0,0.0,station | papa | customers | toppings | shop | screens | switch | smaller screens | smaller | tickets | buttons | thumbs,Papa's Freezeria To Go! | Papa's Pizzeria To Go! | Papa's Burgeria To Go! | Papa's Cupcakeria To Go! | Papa's Taco Mia To Go!
12,17,13,4.618,12698.0,60.18,0.353,simulation | hard | casual | levels | outfits | content | use | challenges | casual casual | try | eat | watch,Red's First Flight | After Inc. | Pou | Arcadia - Watch Games | Where's My Water?
13,10,7,3.848,3371.0,53.3,0.5,sports | ball | team | season | flick | teams | baseball | random | batting | sports sports | entertainment sports | pool,82-0.com | 8 Ball Pool™ | EA SPORTS FC Soccer Mobile 26 | True Skate | Backyard Baseball '01
14,5,3,4.524,1427.0,63.2,0.2,gen | mini | air gen | mini gen | pro | adventure | air | survive | devices | pro max | craft | max,Fortnite | Slime Rancher | Don't Starve Together | Northgard | Subnautica
15,3,1,4.345,16664.0,50.33,0.0,grand theft | theft auto | theft | auto | san | rockstar | adventure action | grand | apart | playlist | entertainment adventure | city,Grand Theft Auto: San Andreas | Grand Theft Auto: Vice City | GTA: San Andreas – Definitive
16,13,9,4.693,98232.0,49.38,0.462,action | strategy | strategy action | towers | challenge | dash | defense | action strategy | tower | entertainment | battle | hours,Bloons TD 6 | Geometry Dash | Subway Surfers | Bloons TD 5 | Castle Busters
17,17,14,4.754,311929.0,50.53,0.765,puzzle | puzzle casual | puzzles | casual | match | casual puzzle | levels | adventure | factory | matching | blast | boosters,Block Blast！ | Magic Sort! | Block Out! - Color Sort Puzzle | Royal Match | Bus Traffic Fever!
18,3,1,4.689,3075583.0,78.67,1.0,clash | notifications | consent | permission | clash clans | refuse | battle | clan | clans | royale | optional | camera,Brawl Stars | Clash Royale | Clash of Clans
