opportunity_rank,cluster_id,game_count,developer_count,average_rating,median_rating_count,average_chart_position,free_game_share,keywords,representative_games,top_developer,top_developer_share,semantic_coherence,cluster_name,market_strength_score,player_validation_score,competition_gap_score,developer_diversity_score,semantic_coherence_score,confidence_score,opportunity_score,confidence_level,segment_type,warning,signal_summary,ranking_penalty,adjusted_opportunity_score
1,10,6,6,4.727,28502.0,43.0,1.0,pixel | sort | tap | puzzle | pixel art | color | board | sorting | art | clear | flow | cubes,Pixel Flow! | Jewel Coloring | Amaze GO! | Food Hunt: Pixel Puzzle | Colony Flow!,Loom Games Oyun Yazilim ve Pazarlama Anonim Sirketi,0.16666666666666666,0.58,Sorting & Cooking Games,20.3,15.1,9.9,12.5,7.3,4.0,69.1,Low,Opportunity candidate,,Strong current chart visibility; strong player validation; relatively limited representation; diverse developer landscape.,0.0,69.1
2,9,13,12,4.816,352722.0,44.0,1.0,puzzle | brain | word | puzzles | mind | logic | words | relaxing | enjoy | hidden | thinking | offline,Vita Mahjong | Meowdoku! | Arrows – Puzzle Escape | Solitaire Associations Journey | Mahjong Blast,Oakever Games,0.15384615384615385,0.45,Word & Brain Games,19.7,18.3,4.8,12.7,3.5,8.7,67.7,Medium,Opportunity candidate,,Strong current chart visibility; strong player validation; diverse developer landscape.,0.0,67.7
3,3,6,6,4.725,19180.0,44.83,1.0,smash | shot | satisfying | aim | destruction | cannon | puzzle | jars | cube | festival | crumble | shoot,Smash Fest! | Jelly Busters: Puzzle Game | Hole.io | Royal Smash! - Physics Puzzle | Cube Land Puzzle Game,Flow Games Bilisim Yazilim ve Pazarlama Anonim Sirketi,0.16666666666666666,0.562,Smash & Shot Games,19.2,14.8,9.9,12.5,6.7,4.0,67.2,Low,Opportunity candidate,,Strong current chart visibility; strong player validation; relatively limited representation; diverse developer landscape.,0.0,67.2
4,16,13,9,4.693,98232.0,49.38,0.462,action | strategy | strategy action | towers | challenge | dash | defense | action strategy | tower | entertainment | battle | hours,Bloons TD 6 | Geometry Dash | Subway Surfers | Bloons TD 5 | Castle Busters,Voodoo,0.15384615384615385,0.388,Strategy & Combat Games,16.7,15.6,5.8,12.7,1.7,8.7,61.2,Medium,Opportunity candidate,,Strong player validation; diverse developer landscape.,0.0,61.2
5,17,17,14,4.754,311929.0,50.53,0.765,puzzle | puzzle casual | puzzles | casual | match | casual puzzle | levels | adventure | factory | matching | blast | boosters,Block Blast！ | Magic Sort! | Block Out! - Color Sort Puzzle | Royal Match | Bus Traffic Fever!,Grand Games A.Ş.,0.11764705882352941,0.394,Block & Sorting Puzzle,16.0,17.4,2.4,13.2,1.8,10.0,60.8,High,Opportunity candidate,,Strong player validation; diverse developer landscape.,0.0,60.8
6,5,12,11,4.655,6963.0,47.5,0.083,city | car | racing | simulation | music | vehicle | world | drive | mode | zombies | flight | vehicles,Plague Inc. | Incredibox | Earn to Die 2 | RFS - Real Flight Simulator | Lowriders Comeback: Boulevard,Not Doppler,0.16666666666666666,0.402,Simulation & Racing Games,17.7,13.0,5.5,12.5,2.1,8.0,58.9,Medium,Opportunity candidate,,Strong current chart visibility; diverse developer landscape.,0.0,58.9
7,8,16,16,4.475,56184.0,45.0,0.625,survivors | resources | friends | multiplayer | simulation | create | survival | worlds | world | strategy | cross-platform | experience,Roblox | Minecraft: Play with Friends! | Call of Duty®: Mobile | Kingshot | Magic Tiles 3™: Piano Game,Roblox Corporation,0.0625,0.35,Survival & Strategy Games,19.1,12.3,2.2,14.1,0.6,10.0,58.3,High,Opportunity candidate,,Strong current chart visibility; diverse developer landscape.,0.0,58.3
8,0,12,10,4.691,14814.0,56.5,0.917,casino | cash | slots | smooth | real | card | rewards | win | enjoy | spin | exciting | win real,Triumph Arcade | Solitaire Cash: Win Real Money | Cider Casino - Real Money | Bingo Cash - Win Real Money | Mahjong Rumble: Win Real Cash,Papaya Gaming,0.16666666666666666,0.491,Casino & Real-Money Games,12.6,14.1,5.9,12.5,4.7,8.0,57.8,Medium,Opportunity candidate,,Strong player validation; diverse developer landscape.,0.0,57.8
9,2,12,11,4.734,4136.0,52.67,0.167,roleplaying | enemies | discover | dungeon | roguelike | bosses | fight | combos | boss | relics | powerful | card,Balatro | CloverPit | How Many Dudes? | Slay the Spire | The Binding of Isaac: Rebirth,Stray Fawn Studio,0.16666666666666666,0.408,Combat & RPG Games,14.8,13.7,5.5,12.5,2.2,8.0,56.8,Medium,Opportunity candidate,,Diverse developer landscape.,0.0,56.8
10,1,19,18,4.569,15967.0,43.21,0.632,casual | crops | merge | simulation | farm | life | casual simulation | puzzle | world | valley | dishes | story,Township | Whiteout Survival | Stardew Valley | Tasty Travels: Merge Game | Gossip Harbor®: Merge & Story,Century Games Pte. Ltd.,0.10526315789473684,0.331,Simulation & Survival Games,20.2,12.5,0.0,13.4,0.0,10.0,56.1,High,Opportunity candidate,,Strong current chart visibility; diverse developer landscape.,0.0,56.1
